_id,text,label,processed_text,sentiment,emotion
66cf68f6fdc289b67f765772,The Zionist occupation killed this angel,anti-Zionist,zionist occupation killed angel,NEG,disgust
66cf68f6fdc289b67f765775,"never, he is a hypocrite, a Zionist! he is putting the whole of Europe in a difficult situation! He is a friend of the genocidal Israelis! he doesn't even talk about the Gaza genocide!",anti-Zionist,never hypocrite zionist putting whole europe difficult situation friend genocidal israeli even talk gaza genocide,NEG,disgust
66cf68f6fdc289b67f765776,"Zionist imam, a traitor to Islam you know what you deserve I need not to say it. Inshallah it comes to you",anti-Zionist,zionist imam traitor islam know deserve need say it inshallah come,NEG,others
66cf68f6fdc289b67f765777,so literal babies are terrorists/terrorist supporters average zionist logic,anti-Zionist,literal baby terroriststerrorist supporter average zionist logic,NEG,disgust
66cf68f6fdc289b67f765778,Zionists in Palestine are shameless terrorist scumbags. The failing project of Israhell can't stay for long. It cannot continue depending on Zionist death cults without any glimpse of humanity.,anti-Zionist,zionist palestine shameless terrorist scumbags failing project israhell ca nt stay long can not continue depending zionist death cult without glimpse humanity,NEG,anger
66cf68f7fdc289b67f76577a,"Omg. You can believe whatever you want - the issue is that belief is being treated as a protected class normally reserved for attributes you are born with, like being a woman or disabled.

NYU is saying ""zionist"" = ""jew"", and since being Jewish is protected so should zionist",neutral,omg believe whatever want issue belief treated protected class normally reserved attribute born with like woman disabled nyu saying zionist jew since jewish protected zionist,NEG,disgust
66cf68f7fdc289b67f76577b,You can keep going back to when Herzl invented Zionist Ideology… early 1900’s his obsession with forming  a Jewish white supremacist state in the Arab Holy Land known as Palestine. Weitz a Zionist immigrant planned the displacement of Arabs and the law of no return! Evil lot!,anti-Zionist,keep going back herzl invented zionist ideology early s obsession forming jewish white supremacist state arab holy land known palestine weitz zionist immigrant planned displacement arab law return evil lot,NEG,anger
66cf68f7fdc289b67f76577c,A murder occupant Zionist’s  life is worth like 0.0001 of an innocent Palestinians life,anti-Zionist,murder occupant zionist s life worth like innocent palestinian life,NEG,anger
66cf68f7fdc289b67f76577d,"""Islam has no place for terrorism and killing of innocent people"" 

Yet the very trustworthy, objective and credible Zionist owned mainstream media keeps saying otherwise. 

Why do my own research when I have this zionist owned media to tell me what to think?",anti-Zionist,islam place terrorism killing innocent people yet trustworthy objective credible zionist owned mainstream medium keep saying otherwise research zionist owned medium tell think,NEG,disgust
66cf68f7fdc289b67f76577e,"The Biggest threat to the UK is the Zionist movement, Starmer and his obsession with sending arms and missiles to use on other countries.. he is like Blair, he is obsessed into believing being a war monger makes you popular.. he is wrong.. his shocking insults to  the UK will",anti-Zionist,biggest threat uk zionist movement starmer obsession sending arm missile use country like blair obsessed believing war monger make popular wrong shocking insult uk,NEG,disgust
66cf68f7fdc289b67f76577f,What is the biggest threat to the United Kingdom ,neutral,biggest threat united kingdom,NEG,fear
66cf68f7fdc289b67f765780,"The world has been completely silent about Palestinian hostages since years. It is time for zionists to understand that the equation now is changing dramatically. Every Palestinian hostage will be in front an Israeli hostage. 
#FreetheHostages 
#FreeHostages 
#FreePalestine",anti-Zionist,world completely silent palestinian hostage since year time zionist understand equation changing dramatically every palestinian hostage front israeli hostage  freethehostages  freehostages  freepalestine,NEG,others
66cf68fbfdc289b67f765781,Her job is supporting Zionists and coups.,anti-Zionist,job supporting zionist coup,NEG,disgust
66cf68fbfdc289b67f765782,"She says: ""Palestinian isn't an ethnicity, it's an ideology that says they want all Jews to die.""

She’s projecting just like all Zionists do, when in reality it’s actually this:
“[Israeli] isn't an ethnicity, it's an ideology that says they want all [Palestinians] to die.”",anti-Zionist,say : palestinian ethnicity ideology say want jew die she s projecting like zionist do reality it s actually this : israeli ethnicity ideology say want palestinian die,NEG,disgust
66cf68fbfdc289b67f765783,"""I think colonialism gets a bad rap""

Wild exchange with an Israeli far right settler activist, hoping to move into Gaza, and for all Palestinians to be pushed out 

We met Arielle at a tent camp close to the Erez border crossing",neutral,i think colonialism get bad rap wild exchange israeli far right settler activist hoping move gaza palestinian pushed met arielle tent camp close erez border crossing,NEG,others
66cf68fbfdc289b67f765784,"You could actually be using your account to call out the ACTUAL ZIONISTS committing this genocide, instead you decide to attack female artists. Your priorities are messed up and you need to rethink things.",anti-Zionist,could actually using account call actual zionist committing genocide instead decide attack female artist priority messed need rethink thing,NEG,disgust
66cf68fbfdc289b67f765785,No Zionist Jews as well,anti-Semitic,zionist jew well,NEG,disgust
66cf68fcfdc289b67f765787,"How many are zionists, though?",anti-Zionist,many zionist though,NEG,disgust
66cf68fcfdc289b67f765788,"Not my problem. People here are starting to starve slowly,lose their homes and get their cars repossessed while unemployment rises exponentially because financing your war for the zionist and bankster resource grabbers is killing our economy. Each American citizen has sent",anti-Zionist,problem people starting starve slowly lose home get car repossessed unemployment rise exponentially financing war zionist bankster resource grabber killing economy american citizen sent,NEG,disgust
66cf68fcfdc289b67f765789,"If Andrew Bridgen over the past couple of yrs is not enough to let the ppl know we are under tyrannical zionist rule ,i carnt help you .
We need to Unite to Demand theZionist controlled  Gov step down .
Yaxley you NEVER mention the real root cause of why Britain is Broken",anti-Zionist,andrew bridgen past couple yr enough let ppl know tyrannical zionist rule i carnt help need unite demand thezionist controlled gov step yaxley never mention real root cause britain broken,NEG,disgust
66cf68fcfdc289b67f76578b,"Tell him the first rule of being a Zionist is not having ""Free Palestine"" and a terrorist flag in his profile.",anti-Zionist,tell first rule zionist free palestine terrorist flag profile,NEG,others
66cf6900fdc289b67f76578e,"Watch Now:
Hamas kills 16 Zionist IDF Soldiers attack in Gaza.
None of this been reported on American or Israeli news channels",anti-Zionist,watch now : hamas kill zionist idf soldier attack gaza none reported american israeli news channel,NEG,others
66cf6901fdc289b67f76578f,"You can short BNB for those of you who have Binance

I just shorted the mother F out of that shiyte coin.",neutral,short bnb binance shorted mother f shiyte coin,NEG,others
66cf6901fdc289b67f765791,"@Keir_Starmer
 Genocide doesn’t have to mean the murder of 6M. As a human rights lawyer you can see genocide taking place in Gaza but you keep supplying weapons to the Zionist state!!",anti-Zionist,keirstarmer genocide doesn t mean murder m human right lawyer see genocide taking place gaza keep supplying weapon zionist state,NEG,anger
66cf6901fdc289b67f765793,"As a Zionist, you know full well what Zionist Starmer is up to",neutral,zionist know full well zionist starmer,NEG,disgust
66cf6901fdc289b67f765794,Temporary manipulation due to injection of money from zionists. They have closed far too many retail stores,anti-Semitic,temporary manipulation due injection money zionist closed far many retail store,NEG,disgust
66cf6901fdc289b67f765795,"Thinking of you all every hour, an absolute nightmare been forced on you. We are out on the streets shouting at the top of our lungs for our disgusting UK government to stop sending arms to the zionist entity. We will not stop until Palestine is free and colonialism is ended.",anti-Zionist,thinking every hour absolute nightmare forced you street shouting top lung disgusting uk government stop sending arm zionist entity stop palestine free colonialism ended,NEG,disgust
66cf6901fdc289b67f765796,Because the #Zionists do not want to contract #Polio.,anti-Zionist, zionist want contract  polio,NEG,disgust
66cf6902fdc289b67f765798,"Does anyone actually believe Zionists accidentally attacked a UN convoy???

If so why? Because the “most moral army in the world” shies away from committing atrocities???",anti-Zionist,anyone actually believe zionist accidentally attacked un convoy why most moral army world shy away committing atrocity,NEG,disgust
66cf6902fdc289b67f76579a,"""Parasocial relationships"" no I actually call Gaga out when actual, factual issues that occur happen. Claiming she is a zionist because of a show and a fake Israeli propaganda article is something I WILL defend her for because it is absolute bullshit",anti-Zionist,parasocial relationship actually call gaga actual factual issue occur happen claiming zionist show fake israeli propaganda article something defend absolute bullshit,NEG,disgust
66cf6902fdc289b67f76579c,YOU are focusing on the wrong problem. the problem is there are zionists part of this project. it doesn’t matter who they are. the fact that they have any part in this is the problem.,anti-Zionist,focusing wrong problem problem zionist part project doesn t matter are fact part problem,NEG,others
66cf6902fdc289b67f76579d,"Couldn't give a flying fuck if he's took weight loss pills, injections or whatever.

I do care about his blatant corruption, vile treatment of child asylum seekers, his pathological lying & his zionist support of Israeli genocide & war crimes.",anti-Zionist,give flying fuck he s took weight loss pill injection whatever care blatant corruption vile treatment child asylum seeker pathological lying zionist support israeli genocide war crime,NEG,anger
66cf6903fdc289b67f76579e,"Zionist #Terrorist #p""!gʻ§ target a Palestinian man with special needs while he was walking on a special needs crossover in Deir al-Balah in the central Gaza Strip

#غزة_الآن
#فلسطين
#القدس 
#جنوب_لبنان

#Gaza_in_Genocide ",anti-Zionist,zionist  terrorist  p g target palestinian man special need walking special need crossover deir albalah central gaza strip      gazaingenocide,NEG,others
66cf6906fdc289b67f76579f,yall are wayyy too comfy giving this woman a platform just for the giggles and jokes. shes a fucking zionist.,anti-Zionist,yall wayyy comfy giving woman platform giggle joke shes fucking zionist,NEG,disgust
66cf6906fdc289b67f7657a0,Indiscriminate killing makes it hard to think of Zionists in Palestine as humans. They are much closer to filthy animals.,anti-Zionist,indiscriminate killing make hard think zionist palestine human much closer filthy animal,NEG,disgust
66cf6907fdc289b67f7657a1,im as zionist as they come but shmuley is such a bad voice to represent Israel,neutral,im zionist come shmuley bad voice represent israel,NEG,others
66cf6907fdc289b67f7657a2,Because of Zionist Israel,anti-Zionist,zionist israel,NEG,disgust
66cf6907fdc289b67f7657a3,"Since you are with the genocidal Zionist entity, We are happy that Russia destroys you!!.... I don't hate Ukrainian people, but this man is not the right person to lead Ukraine",anti-Zionist,since genocidal zionist entity happy russia destroys you hate ukrainian people man right person lead ukraine,NEG,disgust
66cf6907fdc289b67f7657a5,They are delusional and going to hell. For any Christian to think Jesus would approve of the Zionist entity’s actions is sickening and depraved.,anti-Zionist,delusional going hell christian think jesus would approve zionist entity s action sickening depraved,NEG,anger
66cf6907fdc289b67f7657a6,I never realized there were so many Zionist Catholics. WTF,anti-Zionist,never realized many zionist catholic wtf,NEG,disgust
66cf6908fdc289b67f7657a7,"A point...what does usa gov think would happen if Hamas surrendered gave up weapons and all hostages were released,,,would it be 
A /flowers and gifts and more  food and drink than needed from the #zionist infiltrators.
or
B / With all hostages freed  #GenocideExtreme then
Sinai.",anti-Zionist,point what usa gov think would happen hamas surrendered gave weapon hostage released would flower gift food drink needed  zionist infiltrator b hostage freed  genocideextreme sinai,NEG,disgust
66cf6908fdc289b67f7657a8,"Scooter Braun is so JD Vance coded (weirdly obsessed with women who want nothing to do with him, also a zionist freak)",anti-Zionist,scooter braun jd vance coded weirdly obsessed woman want nothing him also zionist freak,NEG,disgust
66cf6908fdc289b67f7657aa,"That is all zionists have lies and crying! Proud to rape and be peados, Satan's chosen people",anti-Zionist,zionist lie cry proud rape peados satan s chosen people,NEG,anger
66cf690cfdc289b67f7657ac," Egyptian Foreign Ministry:

“We CONDEMN the Israeli military incursions into the cities of the northern West Bank, which led to the martyrdom and injury of many Palestinians…”

“We DEMAND a unified and effective international position that provides protection for the",anti-Zionist,egyptian foreign ministry : we condemn israeli military incursion city northern west bank led martyrdom injury many palestinian we demand unified effective international position provides protection,NEG,others
66cf690cfdc289b67f7657ad,"Your logic: ""If it's not on a media source of my liking, it's fake.""

Zionists will never acquiesce to their crimes and claim either ""antisemitism"" or ""propganda.""

The irony is that the IDF is full of propganda, and the goalposts for antisemitism are forever expanding.",anti-Zionist,logic : if medium source liking fake zionist never acquiesce crime claim either antisemitism propganda irony idf full propganda goalpost antisemitism forever expanding,NEG,disgust
66cf690cfdc289b67f7657ae,"""Stan culture makes you believe you know a stranger"" GURL THATS LITERALLY WHAT YOURE DOING 

Everything you have said has pointed to zero evidence supporting your claim about Gaga being a zionist. She has never explicitly said she supports Israel",neutral,stan culture make believe know stranger gurl thats literally youre everything said pointed zero evidence supporting claim gaga zionist never explicitly said support israel,NEG,disgust
66cf690cfdc289b67f7657af,I hate that those Israel First Zionist Jews of AIPAC are targeting you for defeat Ted & They’re running that uppity Shvartza against you,anti-Zionist,hate israel first zionist jew aipac targeting defeat ted they re running uppity shvartza,NEG,anger
66cf690cfdc289b67f7657b0,You must love it you Zionist slave!,anti-Zionist,must love zionist slave,NEG,disgust
66cf690dfdc289b67f7657b1,"They also hit the US convoy, so do they mean there's nothing to do? For Zionist Israel, it does not care if its own people are also shot  They are mocking the world 
And the Americans are watching! 
@UN
 @UN_Spokesperson
 
@JoeBiden
 @POTUS
 @KamalaHarris",anti-Zionist,also hit u convoy mean there s nothing do zionist israel care people also shot mocking world american watching un unspokesperson joebiden potus kamalaharris,NEG,disgust
66cf690dfdc289b67f7657b2,Wow the Zionists really are trying to wipe Ukraine clean so they can move in,anti-Zionist,wow zionist really trying wipe ukraine clean move,NEG,disgust
66cf690dfdc289b67f7657b4,The nerve of this “JEW” a lot of them try to hide their Zionist heritage  until you look their parents up lol I guess it’s the natural coward in them to act like a spy and lie ,anti-Zionist,nerve jew lot try hide zionist heritage look parent lol guess it s natural coward act like spy lie,NEG,anger
66cf690dfdc289b67f7657b5,She won’t.  She is a Zionist of the same ilk as Jake Tapper and Dana Bash.,anti-Zionist,won t zionist ilk jake tapper dana bash,NEG,disgust
66cf690dfdc289b67f7657b6,Sweet lord...Zionists switched the flag midstream,anti-Zionist,sweet lord zionist switched flag midstream,NEG,others
66cf690dfdc289b67f7657b7,I'm a Catholic and any catholic who claims to be a Zionist is lying. Completely incompatible with the Catholic faith.,anti-Zionist,i m catholic catholic claim zionist lying completely incompatible catholic faith,NEG,disgust
66cf690efdc289b67f7657b8,The Zionist regime in Israel truly has to be one of if not the most disgusting entity in human existence.,anti-Zionist,zionist regime israel truly one disgusting entity human existence,NEG,disgust
66cf690efdc289b67f7657b9,"The weak and gullible. They are the same ones that believe there are hoards of far right EDL thugs rampaging through the streets looking for Muslims, the same ones that think illegal immigrants crossing the channel are part of a Zionist master plan.",anti-Zionist,weak gullible one believe hoard far right edl thug rampaging street looking muslim one think illegal immigrant crossing channel part zionist master plan,NEG,anger
66cf690efdc289b67f7657ba,Neil Druckmann is a raging zionist,anti-Zionist,neil druckmann raging zionist,NEG,disgust
66cf690efdc289b67f7657bb,"If you are an Israeli zionist, you are admitting you are a racist who believes in ethnic superiority over Arab Israelis.",anti-Zionist,israeli zionist admitting racist belief ethnic superiority arab israeli,NEG,disgust
66cf690efdc289b67f7657bc,"How painful it is.   The children of Gaza are innocent.   The Zionist regime has no sense of humanity.   These crimes will not go unanswered.  God, send the promised savior and save Gaza from this pain and war",anti-Zionist,painful is child gaza innocent zionist regime sense humanity crime go unanswered god send promised savior save gaza pain war,NEG,disgust
66cf6911fdc289b67f7657bd,Because he’s a zionist puppet,anti-Zionist,he s zionist puppet,NEG,disgust
66cf6911fdc289b67f7657bf,It’s due to definition creep. If you call every Jew who doesn’t support Hamas a “Zionist” then you have redefined Zionist to mean “Jew”,anti-Semitic,it s due definition creep call every jew doesn t support hamas zionist redefined zionist mean jew,NEG,disgust
66cf6911fdc289b67f7657c1,"Zionist believe in Satan, not God.",anti-Zionist,zionist believe satan god,NEG,disgust
66cf6912fdc289b67f7657c2,Zionists destroyed the power of the USA,anti-Zionist,zionist destroyed power usa,NEG,disgust
66cf6912fdc289b67f7657c3,China says the United States’ days of bullying the world are coming to an end.,neutral,china say united state day bullying world coming end,NEG,others
66cf6912fdc289b67f7657c4,"foreign agent Shabbos Kestenbaum is trying to persecute Liz Magill, UPenn’s former president who was pushed out b/c of the Zionist witch hunt to censor speech critical ofcrimes. He’s tagged all the Gestapos so they can attack her.

These ppl support Antisemitism Awareness Act",neutral,foreign agent shabbos kestenbaum trying persecute liz magill upenn s former president pushed bc zionist witch hunt censor speech critical ofcrimes he s tagged gestapo attack her ppl support antisemitism awareness act,NEG,disgust
66cf6912fdc289b67f7657c5,"Well who is being a racist?

Oh look a Zionist.

What a surprise.

Enjoy your ignorance and hatefulness in peace.

The levant does not belong to you and Palestine will be free from the river to sea, for all people as equals.

ALL COLONIALISM ends in failure.

As will THIS! ",anti-Zionist,well racist oh look zionist surprise enjoy ignorance hatefulness peace levant belong palestine free river sea people equal colonialism end failure this,NEG,anger
66cf6912fdc289b67f7657c7,"That is simply wrong, Hitler was always opposed to a Zionist state, he said that as early as in Mein Kampf, and later made it official policy in his contract with the Grand Mufti.

Also between 1931 and 36 those jews would have gone there voluntarily not by forced nazi policy.",anti-Semitic,simply wrong hitler always opposed zionist state said early mein kampf later made official policy contract grand mufti also jew would gone voluntarily forced nazi policy,NEG,others
66cf6916fdc289b67f7657c8,Loyal dog of zionists,anti-Zionist,loyal dog zionist,NEG,others
66cf6916fdc289b67f7657c9,You're going to burn in hell,neutral,going burn hell,NEG,anger
66cf6916fdc289b67f7657ca,"Jewish Dems illustrate America's -controlled govt. They're fine with Trump & Ben Gvir but need you to believe they're not: ""Your vote really matters!""

Pro-genocide 1-issue  voters who wield ""antisemite"" to deceive ... same as Trump.

#Zionists #Zionism #Israel #Netanyahu",anti-Zionist,jewish dems illustrate america s controlled govt they re fine trump ben gvir need believe they re not : your vote really matter progenocide issue voter wield antisemite deceive trump  zionist  zionism  israel  netanyahu,NEG,anger
66cf6917fdc289b67f7657cc,Please do because I'm yet to see how half of these being fake means someone is a zionist,anti-Zionist,please i m yet see half fake mean someone zionist,NEG,disgust
66cf6917fdc289b67f7657cd,This isn’t the Gaza Strip Homie. They should’ve unaligned his Zionist bitch ass.,anti-Zionist,isn t gaza strip homie should ve unaligned zionist bitch as,NEG,disgust
66cf6917fdc289b67f7657ce,The caption is fake. https://x.com/Mrgunsngear/status/1828510995951812943…,neutral,caption fake URL,NEG,disgust
66cf6917fdc289b67f7657cf,Buying zionist supporting coke?,anti-Zionist,buying zionist supporting coke,NEG,disgust
66cf6917fdc289b67f7657d1,No to zionist spuds ,anti-Zionist,zionist spud,NEG,disgust
66cf6917fdc289b67f7657d3,"No it is not! I am totally against Zionists, majority of them being Christian’s. I am opposed to the political ideology that has resulted in the confiscation of land from the Palestinians, leading to a ramping up of a genocidal war that has been going on for decades.",anti-Zionist,not totally zionist majority christian s opposed political ideology resulted confiscation land palestinian leading ramping genocidal war going decade,NEG,disgust
66cf6918fdc289b67f7657d5,"Every fucking coloniser thinks d same way b4 being dumped in2 trash can of history.  Zionist occupiers & terrorists have been mass slaughtering Palestinians since 7 decades. Live in your vile illusions,  resistance never fades & will continue till their glorious victory,  
#Gaza",anti-Zionist,every fucking coloniser think way b dumped in trash history zionist occupier terrorist mass slaughtering palestinian since decade live vile illusion resistance never fade continue till glorious victory  gaza,NEG,anger
66cf6918fdc289b67f7657d6,News flash: not just the left  everyone hates zionist scum.,anti-Zionist,news flash : left everyone hate zionist scum,NEG,disgust
66cf6918fdc289b67f7657d7,you are holding all Palestinian families with their children and babies hostages.. no food no water. the biggest prison in the world.. even the Nazis would be shocked to see your Zionist Jewish crimes that humanity has never seen before,anti-Zionist,holding palestinian family child baby hostage food water biggest prison world even nazi would shocked see zionist jewish crime humanity never seen,NEG,disgust
